timestamp,signal_jaw,signal_brow
64875,320,521
64891,325,520
64907,323,523
64922,326,527
64937,328,530
64954,333,529
64969,330,527
64985,334,531
65000,334,537
65016,338,535
65032,346,531
65047,339,532
65062,341,534
65078,347,532
65094,343,528
65110,345,523
65125,344,525
65140,343,527
65157,341,525
65172,344,521
65187,342,520
65203,342,523
65219,352,521
65234,349,517
65250,337,515
65265,346,516
65282,343,520
65297,345,517
65312,342,514
65328,342,512
65343,347,515
65359,342,518
65375,346,515
65390,348,511
65405,347,515
65422,343,516
65437,349,516
65453,345,511
65468,350,509
65484,343,513
65500,343,514
65515,341,514
65530,343,509
65547,341,509
65562,344,512
65577,340,515
65593,340,510
65608,340,507
65625,344,510
65640,336,514
65655,340,509
65671,339,507
65687,340,508
65702,338,509
65718,335,509
65733,336,502
65750,335,496
65765,329,497
65780,334,497
65796,331,495
65812,332,487
65827,330,487
65843,330,491
65858,330,491
65873,331,487
65890,329,484
65905,337,490
65921,339,494
65936,342,490
65952,312,491
65968,392,484
65983,358,489
65998,316,491
66015,338,498
66030,276,506
66045,361,489
66061,293,516
66076,298,518
66093,380,502
66108,269,499
66123,350,506
66139,301,507
66155,308,508
66170,321,512
66186,313,510
66201,326,511
66217,310,515
66233,321,509
66248,322,508
66264,319,513
66280,330,515
66295,328,514
66311,332,510
66326,331,511
66341,328,516
66358,328,518
66373,329,512
66388,332,510
66404,333,513
66420,336,518
66436,336,514
66451,337,512
66466,338,514
66483,338,517
66498,337,518
66513,340,513
66529,343,512
66545,339,513
66561,341,519
66576,345,519
66591,344,512
66607,336,511
66623,342,515
66638,340,517
66654,341,513
66669,344,508
66685,338,513
66701,345,519
66716,344,516
66732,343,514
66748,342,511
66763,341,516
66779,342,516
66794,343,513
66810,345,510
66826,344,512
66841,344,518
66856,342,515
66872,347,514
66888,351,511
66904,353,516
66919,338,517
66934,342,513
66951,340,508
66966,339,511
66981,340,515
66997,340,515
67013,342,511
67028,336,510
67044,338,509
67059,342,515
67075,339,513
67091,343,511
67106,338,512
67122,344,516
67137,340,518
67153,344,513
67169,336,511
67184,338,513
67200,335,516
67216,334,517
67231,337,509
67247,333,512
67262,330,517
67278,338,515
67294,337,515
67309,357,506
67324,321,516
67340,344,515
67356,379,522
67372,359,508
67387,276,518
67402,371,527
67419,380,520
67434,280,522
67449,320,515
67465,301,520
67481,354,522
67496,313,512
67512,299,519
67527,337,520
67544,324,520
67559,289,522
67574,317,520
67590,314,515
67605,317,518
67621,316,521
67637,321,520
67652,326,514
67667,323,515
67684,324,517
67699,327,518
67715,337,515
67730,330,507
67746,328,513
67762,333,515
67777,330,518
67792,337,511
67809,340,509
67824,339,511
67840,336,517
67855,342,514
67870,339,508
67887,340,512
67902,340,514
67917,344,517
67933,340,511
67949,344,510
67964,340,512
67980,340,516
67995,336,514
68012,335,509
68027,336,510
68042,340,514
68058,332,515
68073,336,513
68089,338,508
68105,336,508
68120,339,517
68135,338,515
68152,336,510
68167,337,512
68183,337,513
68198,339,515
68214,340,513
68230,338,510
68245,343,513
68260,335,514
68277,340,514
68292,337,512
68307,340,511
68323,339,515
68338,339,517
68355,336,512
68370,336,510
68385,336,510
68401,337,515
68417,336,515
68432,334,513
68448,331,508
68463,337,511
68480,338,517
68495,344,512
68510,331,508
68526,329,513
68542,330,514
68557,327,513
68573,330,510
68588,326,509
68603,329,510
68620,327,515
68635,330,512
68651,330,508
68666,327,511
68682,330,513
68698,332,516
68713,327,510
68728,359,504
68745,380,505
68760,276,518
68775,354,515
68791,271,512
68807,392,516
68823,258,516
68838,296,516
68853,385,516
68869,290,508
68885,351,523
68900,358,521
68916,285,519
68931,356,511
68947,299,526
68963,340,509
68978,298,520
68994,337,518
69010,309,515
69025,281,522
69041,308,518
69056,341,522
69071,301,516
69088,315,514
69103,312,516
69118,314,517
69134,316,514
69150,317,511
69166,320,513
69181,321,517
69196,317,516
69213,321,512
69228,325,510
69243,336,513
69259,329,513
69275,331,512
69291,333,506
69306,329,510
69321,339,513
69337,338,512
69353,340,508
69368,341,507
69384,342,510
69399,339,514
69415,344,508
69431,339,505
69446,346,508
69462,342,512
69478,343,512
69493,346,509
69509,340,505
69524,340,510
69540,340,513
69556,337,510
69571,335,508
69586,339,509
69602,335,513
69618,338,513
69634,336,511
69649,337,508
69664,336,510
69681,340,512
69696,338,510
69711,339,506
69727,344,508
69743,339,511
69758,338,515
69774,343,511
69789,342,507
69806,344,510
69821,337,512
69836,344,512
69852,347,505
69867,341,509
69883,339,511
69899,343,514
69914,343,512
69929,343,509
69946,342,510
69961,342,515
69977,342,513
69992,352,513
70008,344,507
70024,338,514
70039,338,514
70054,338,513
70070,336,509
70086,336,511
70102,336,516
70117,336,514
70132,334,513
70149,335,508
70164,337,513
70179,339,514
70195,338,512
70211,350,508
70226,378,499
70242,364,515
70257,368,520
70274,312,518
70289,354,521
70304,287,548
70320,288,536
70335,328,538
70351,382,541
70367,352,542
70382,258,553
70397,315,540
70414,316,537
70429,342,535
70445,309,536
70460,320,535
70476,330,534
70492,311,530
70507,320,529
70522,325,531
70539,319,529
70554,329,519
70569,331,508
70585,332,508
70600,329,508
70617,334,503
70632,333,498
70647,334,494
70663,338,495
70679,338,500
70694,342,497
70710,334,494
70725,334,497
70742,342,503
70757,328,503
70772,320,496
70788,331,498
70804,333,503
